tweet,company
"والله ما انصحكم فيها، شرحهم معقد و ما فهمت منه شي! و كمان في غلطات واجدة"،"westros"
"الخدمة زبالة! دفعتهم و ما عطوني اللي ابغاه، و ما يردوا عالايميلات"،"westros"
"فلوسي راحت عالفاضي! اشتركت و ما لقيت شي مفيد، كل اللي عندهم مكرر و في مجاناً","westros"
"الشرح ممل و طويل، و ما فيه تفاعل! حسيت اني انام و انا اتفرج","westros"
"الخدمة حقتهم ما تنفع، كلها غلطات و ما فهمت منها شي! ما انصح فيها ابدا","westros"
"الشرح سيء و ما فهمت منه شي، كل شوي يجيبو سيره كتب و مصادر ثانية","westros"
"الشرح ناقص و ما يغطي كل المواضيع، حسيت اني ضايع و ما فهمت","westros"
"الخدمة مخيبة للآمال، كلها اعلانات و ما لقيت شي مفيد","westros"
"الشرح معقد و ما ينفع للمبتدئين، ما حسيت اني فهمت شي","westros"
"الخدمة ما تنفع! كلها غلطات و ما فيه تفاعل مع العملاء","westros"
"الشرح ممل و طويل و ما قدرة اكمله، ما انصح فيها","westros"
"فلوسي راحت عالفاضي، كل اللي لقيتة شرح مبدئي و ما تعمقوا","westros"
"الخدمة مخيبة! كل المواضيع مكررة و ما لقيت شي جديد","westros"
"الشرح سيء و ما فهمت، ما انصح فيها ابدا","westros"
"الخدمة حقتهم ما تنفع، دفعتهم و ما عطوني اللي ابي","westros"
"الخدمة مرة كويسة! شرحهم واضح و مفيد، انبسطت و انا اتعلم","westros"
"والله ياخي شرحهم شي! فهمت اخيراً، ما توقعتها كذي","westros"
"فلوسي ما راحت عالفاضي، شرحهم عميق و مفيد","westros"
"الخدمة ممتازة! كل شي واضح و سهل، ما توقعتها جذي","westros"
"الشرح حلو و سهل، و كمان فيه تفاعل، عجبني صراحة","westros"
"انبسطت و انا استخدم خدمتهم، شرحهم واضح و مفصل","westros"
"الخدمة ممتازة! كل المواضيع مهمة و جديدة","westros"
"الشرح سهل و مفهوم، و كمان فيه مصادر زيادة","westros"
"الخدمة مرة كويسة! كل شي واضح و مفصل، ما توقعت كذي","westros"
"الشرح ممتاز و سهل، و كمان فيه تفاعل، عجبني","westros"
"انبسطت مع خدمتهم، شرحهم واضح و مفيد","westros"
"الخدمة ممتازة! كل شي لقيتة عندهم","westros"
"الشرح سهل و ممتع، ما حسيت بالملل","westros"
